Timestamp,Pressure(mbar),Temperature(deg C),Depth(m),Altitude( m above mean sea level),Timestamp(Sec)
2024-08-28 11:41:19,1001,31.82,-0.12,102.43,0
2024-08-28 11:41:20,1000,31.82,-0.13,110.84,1
2024-08-28 11:41:21,1000,31.81,-0.13,110.84,2
2024-08-28 11:41:22,1001,31.8,-0.12,102.43,3
2024-08-28 11:41:23,1000,31.79,-0.13,110.84,4
2024-08-28 11:41:24,1000,31.79,-0.13,110.84,5
2024-08-28 11:41:25,1001,31.78,-0.12,102.43,6
2024-08-28 11:41:26,1000,31.78,-0.13,110.84,7
2024-08-28 11:41:27,1000,31.77,-0.13,110.84,8
2024-08-28 11:41:28,1000,31.77,-0.13,110.84,9
2024-08-28 11:41:29,1000,31.77,-0.13,110.84,10
2024-08-28 11:41:30,1000,31.76,-0.13,110.84,11
2024-08-28 11:41:31,1000,31.76,-0.13,110.84,12
2024-08-28 11:41:32,1000,31.75,-0.13,110.84,13
2024-08-28 11:41:33,1001,31.75,-0.12,102.43,14
2024-08-28 11:41:34,999,31.75,-0.14,119.25,15
2024-08-28 11:41:35,999,31.74,-0.14,119.25,16
2024-08-28 11:41:36,1000,31.74,-0.13,110.84,17
2024-08-28 11:41:37,1000,31.74,-0.13,110.84,18
2024-08-28 11:41:38,1000,31.74,-0.13,110.84,19
2024-08-28 11:41:39,1000,31.73,-0.13,110.84,20
2024-08-28 11:41:40,1001,31.72,-0.12,102.43,21
2024-08-28 11:41:41,1000,31.71,-0.13,110.84,22
2024-08-28 11:41:42,1000,31.71,-0.13,110.84,23
2024-08-28 11:41:43,1000,31.71,-0.13,110.84,24
2024-08-28 11:41:44,1000,31.71,-0.13,110.84,25
2024-08-28 11:41:45,1000,31.71,-0.13,110.84,26
2024-08-28 11:41:46,1000,31.71,-0.13,110.84,27
2024-08-28 11:41:47,1000,31.72,-0.13,110.84,28
2024-08-28 11:41:48,1000,31.72,-0.13,110.84,29
2024-08-28 11:41:49,1000,31.71,-0.13,110.84,30
2024-08-28 11:41:50,1000,31.71,-0.13,110.84,31
2024-08-28 11:41:52,1000,31.71,-0.13,110.84,32
2024-08-28 11:41:53,1000,31.7,-0.13,110.84,33
2024-08-28 11:41:54,1000,31.69,-0.13,110.84,34
2024-08-28 11:41:55,1000,31.69,-0.13,110.84,35
2024-08-28 11:41:56,1000,31.68,-0.13,110.84,36
2024-08-28 11:41:57,1000,31.68,-0.13,110.84,37
2024-08-28 11:41:58,999,31.68,-0.14,119.25,38
2024-08-28 11:41:59,999,31.68,-0.14,119.25,39
2024-08-28 11:42:00,1000,31.66,-0.13,110.84,40
2024-08-28 11:42:01,1000,31.66,-0.13,110.84,41
2024-08-28 11:42:02,1000,31.66,-0.13,110.84,42
2024-08-28 11:42:03,1000,31.66,-0.13,110.84,43
2024-08-28 11:42:04,1000,31.65,-0.13,110.84,44
2024-08-28 11:42:05,1000,31.65,-0.13,110.84,45
2024-08-28 11:42:06,1000,31.64,-0.13,110.84,46
2024-08-28 11:42:07,1000,31.64,-0.13,110.84,47
2024-08-28 11:42:08,1000,31.65,-0.13,110.84,48
2024-08-28 11:42:09,1000,31.65,-0.13,110.84,49
2024-08-28 11:42:10,999,31.65,-0.14,119.25,50
2024-08-28 11:42:11,999,31.65,-0.14,119.25,51
2024-08-28 11:42:12,1000,31.65,-0.13,110.84,52
2024-08-28 11:42:13,1000,31.64,-0.13,110.84,53
2024-08-28 11:42:14,1000,31.64,-0.13,110.84,54
2024-08-28 11:42:15,1000,31.65,-0.13,110.84,55
2024-08-28 11:42:16,1000,31.64,-0.13,110.84,56
2024-08-28 11:42:17,1000,31.64,-0.13,110.84,57
2024-08-28 11:42:18,1000,31.64,-0.13,110.84,58
2024-08-28 11:42:19,1000,31.64,-0.13,110.84,59
2024-08-28 11:42:20,999,31.64,-0.14,119.25,60
2024-08-28 11:42:21,1000,31.64,-0.13,110.84,61
2024-08-28 11:42:22,1000,31.64,-0.13,110.84,62
2024-08-28 11:42:23,999,31.64,-0.14,119.25,63
2024-08-28 11:42:24,1000,31.64,-0.13,110.84,64
2024-08-28 11:42:25,999,31.64,-0.14,119.25,65
2024-08-28 11:42:26,1000,31.64,-0.13,110.84,66
2024-08-28 11:42:27,1000,31.65,-0.13,110.84,67
2024-08-28 11:42:28,1000,31.65,-0.13,110.84,68
2024-08-28 11:42:29,1000,31.65,-0.13,110.84,69
2024-08-28 11:42:30,1000,31.65,-0.13,110.84,70
2024-08-28 11:42:31,1000,31.65,-0.13,110.84,71
2024-08-28 11:42:32,1000,31.65,-0.13,110.84,72
2024-08-28 11:42:33,1000,31.66,-0.13,110.84,73
2024-08-28 11:42:34,999,31.67,-0.14,119.25,74
2024-08-28 11:42:35,1000,31.67,-0.13,110.84,75
2024-08-28 11:42:36,1000,31.66,-0.13,110.84,76
2024-08-28 11:42:37,1000,31.65,-0.13,110.84,77
2024-08-28 11:42:38,1000,31.65,-0.13,110.84,78
2024-08-28 11:42:39,1000,31.64,-0.13,110.84,79
2024-08-28 11:42:40,1000,31.64,-0.13,110.84,80
2024-08-28 11:42:41,1000,31.63,-0.13,110.84,81
2024-08-28 11:42:42,1000,31.62,-0.13,110.84,82
2024-08-28 11:42:43,1000,31.62,-0.13,110.84,83
2024-08-28 11:42:44,999,31.61,-0.14,119.25,84
2024-08-28 11:42:45,1000,31.6,-0.13,110.84,85
2024-08-28 11:42:46,1000,31.59,-0.13,110.84,86
2024-08-28 11:42:47,1000,31.59,-0.13,110.84,87
2024-08-28 11:42:48,1000,31.58,-0.13,110.84,88
2024-08-28 11:42:49,1000,31.57,-0.13,110.84,89
2024-08-28 11:42:50,1000,31.56,-0.13,110.84,90
2024-08-28 11:42:51,1000,31.56,-0.13,110.84,91
2024-08-28 11:42:52,1000,31.55,-0.13,110.84,92
2024-08-28 11:42:54,999,31.55,-0.14,119.25,93
2024-08-28 11:42:55,999,31.54,-0.14,119.25,94
2024-08-28 11:42:56,999,31.54,-0.14,119.25,95
2024-08-28 11:42:57,1000,31.53,-0.13,110.84,96
2024-08-28 11:42:58,999,31.53,-0.14,119.25,97
2024-08-28 11:42:59,999,31.52,-0.14,119.25,98
2024-08-28 11:43:00,1000,31.52,-0.13,110.84,99
2024-08-28 11:43:01,1000,31.51,-0.13,110.84,100
2024-08-28 11:43:02,999,31.51,-0.14,119.25,101
2024-08-28 11:43:03,1000,31.51,-0.13,110.84,102
2024-08-28 11:43:04,999,31.51,-0.14,119.25,103
2024-08-28 11:43:05,999,31.51,-0.14,119.25,104
2024-08-28 11:43:06,999,31.51,-0.14,119.25,105
2024-08-28 11:43:07,999,31.5,-0.14,119.25,106
2024-08-28 11:43:08,999,31.5,-0.14,119.25,107
2024-08-28 11:43:09,999,31.5,-0.14,119.25,108
2024-08-28 11:43:10,1000,31.5,-0.13,110.84,109
2024-08-28 11:43:11,999,31.49,-0.14,119.25,110
2024-08-28 11:43:12,999,31.49,-0.14,119.25,111
2024-08-28 11:43:13,999,31.49,-0.14,119.25,112
2024-08-28 11:43:14,1000,31.48,-0.13,110.84,113
2024-08-28 11:43:15,999,31.48,-0.14,119.25,114
2024-08-28 11:43:16,999,31.48,-0.14,119.25,115
2024-08-28 11:43:17,999,31.47,-0.14,119.25,116
2024-08-28 11:43:18,999,31.47,-0.14,119.25,117
2024-08-28 11:43:19,999,31.47,-0.14,119.25,118
2024-08-28 11:43:20,999,31.47,-0.14,119.25,119
2024-08-28 11:43:21,999,31.47,-0.14,119.25,120
2024-08-28 11:43:22,1000,31.47,-0.13,110.84,121
2024-08-28 11:43:23,999,31.47,-0.14,119.25,122
2024-08-28 11:43:24,999,31.47,-0.14,119.25,123
2024-08-28 11:43:25,999,31.47,-0.14,119.25,124
2024-08-28 11:43:26,1000,31.47,-0.13,110.84,125
